audio_name,absolute_file_path,relative_file_path,duration,sample_rate,total_samples,min_amplitude_abs,max_amplitude_abs,mean_amplitude_abs,median_amplitude_abs,std_amplitude_abs,rms_amplitude,p01_amplitude,p05_amplitude,p10_amplitude,p25_amplitude,p50_amplitude,p75_amplitude,p90_amplitude,p95_amplitude,p99_amplitude,dynamic_range_db,crest_factor,min_amplitude
transport_001_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_001_transport_sound.mp3,sounds\transport_001_transport_sound.mp3,0.558,44100,24607,0.0,0.724181,0.056293,0.002176,0.11843961,0.131137,0.0,0.0,0.0,2.52e-06,0.00217593,0.03288904,0.22400767,0.3465362,0.53284174,197.2,5.52,0.0
transport_002_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_002_transport_sound.mp3,sounds\transport_002_transport_sound.mp3,0.558,44100,24607,0.0,0.724181,0.056293,0.002176,0.11843961,0.131137,0.0,0.0,0.0,2.52e-06,0.00217593,0.03288904,0.22400767,0.3465362,0.53284174,197.2,5.52,0.0
transport_003_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_003_transport_sound.mp3,sounds\transport_003_transport_sound.mp3,0.158,44100,6959,2e-08,0.005215,0.000913,0.000735,0.00075786,0.001186,4.21e-06,3.53e-05,0.00010372,0.00030478,0.00073518,0.00134262,0.00198603,0.00241528,0.00317818,107.98,4.4,2e-08
transport_004_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_004_transport_sound.mp3,sounds\transport_004_transport_sound.mp3,14.0,44100,617400,0.0,0.82522,0.095984,0.062056,0.10820699,0.144643,0.0,0.0,0.0,0.00037008,0.06205622,0.15222397,0.24959297,0.31605777,0.44725955,198.33,5.71,0.0
transport_005_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_005_transport_sound.mp3,sounds\transport_005_transport_sound.mp3,23.892,44100,1053637,0.0,0.98234,0.04134,0.030535,0.04002218,0.05754,0.00010727,0.00185741,0.00437896,0.01283285,0.03053479,0.0582156,0.09175916,0.11598623,0.17417622,199.85,17.07,0.0
transport_006_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_006_transport_sound.mp3,sounds\transport_006_transport_sound.mp3,0.918,44100,40484,0.0,0.760602,0.074952,0.017391,0.12314063,0.144158,0.0,0.0,0.0,0.00038929,0.01739088,0.09084334,0.2534111,0.3532205,0.5414066,197.62,5.28,0.0
transport_007_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_007_transport_sound.mp3,sounds\transport_007_transport_sound.mp3,10.463,44100,461399,2e-08,0.7585,0.059014,0.041861,0.06295725,0.086292,0.00035984,0.00178384,0.00411438,0.01564834,0.04186066,0.08019483,0.1335983,0.1763721,0.29329234,153.42,8.79,2e-08
transport_008_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_008_transport_sound.mp3,sounds\transport_008_transport_sound.mp3,9.756,44100,430241,0.0,0.845641,0.051747,0.011933,0.09059833,0.104335,1.11e-06,1.322e-05,5.605e-05,0.00071301,0.0119335,0.06138327,0.15375099,0.24029106,0.44657627,198.54,8.11,0.0
transport_009_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_009_transport_sound.mp3,sounds\transport_009_transport_sound.mp3,4.034,44100,177879,0.0,0.834232,0.025385,0.001482,0.06389166,0.06875,2.17e-06,1.044e-05,2.084e-05,8.433e-05,0.00148156,0.01723337,0.07225816,0.1441124,0.3349124,175.53,12.13,0.0
transport_010_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_010_transport_sound.mp3,sounds\transport_010_transport_sound.mp3,0.66,44100,29105,0.0,0.70576,0.06998,0.005544,0.11762795,0.136871,0.0,0.0,0.0,0.00014331,0.00554401,0.09873385,0.25500003,0.33595583,0.48244387,196.97,5.16,0.0
transport_011_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_011_transport_sound.mp3,sounds\transport_011_transport_sound.mp3,0.711,44100,31355,0.0,0.997004,0.055412,0.008788,0.14312021,0.153473,0.0,0.0,0.0,0.00044887,0.00878772,0.025975,0.10198091,0.42030865,0.673872,199.97,6.5,0.0
transport_012_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_012_transport_sound.mp3,sounds\transport_012_transport_sound.mp3,39.632,44100,1747757,1.3e-07,0.820532,0.085627,0.068385,0.0714949,0.11155,0.00124634,0.00624782,0.01247022,0.03177192,0.0683847,0.1207277,0.18120596,0.22388197,0.31992745,136.04,7.36,1.3e-07
transport_013_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_013_transport_sound.mp3,sounds\transport_013_transport_sound.mp3,0.525,44100,23152,0.0,0.703862,0.093868,0.012829,0.1355618,0.164889,0.0,0.0,0.0,1.12e-06,0.0128291,0.15554821,0.31408462,0.3859914,0.5253216,196.95,4.27,0.0
transport_014_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_014_transport_sound.mp3,sounds\transport_014_transport_sound.mp3,12.702,44100,560158,0.0,1.035666,0.143348,0.062997,0.1982981,0.244685,0.0,0.0,1e-08,0.00656164,0.06299723,0.19599023,0.40058228,0.6113448,0.8883808,200.3,4.23,0.0
transport_015_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_015_transport_sound.mp3,sounds\transport_015_transport_sound.mp3,10.704,44100,472025,0.0,0.897481,0.059266,0.0329,0.06871415,0.090742,1.432e-05,0.00052922,0.0021371,0.0103175,0.03289977,0.08611652,0.15426451,0.2002728,0.30273813,170.95,9.89,0.0
transport_016_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_016_transport_sound.mp3,sounds\transport_016_transport_sound.mp3,2.734,44100,120590,1e-08,0.970848,0.083249,0.059322,0.08226012,0.117035,0.00028208,0.00347843,0.00815249,0.0244382,0.05932194,0.11491546,0.18925264,0.2477918,0.38174507,158.85,8.3,1e-08
transport_017_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_017_transport_sound.mp3,sounds\transport_017_transport_sound.mp3,4.541,44100,200266,2e-08,0.967779,0.014524,0.003533,0.06244094,0.064108,7.91e-06,0.00011832,0.00037426,0.00139443,0.0035333,0.00795015,0.01911372,0.03885281,0.27342474,154.19,15.1,2e-08
transport_018_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_018_transport_sound.mp3,sounds\transport_018_transport_sound.mp3,1.159,44100,51130,0.0,0.50564,0.012715,0.001998,0.02997572,0.032561,5.5e-07,2.85e-06,8.23e-06,4.247e-05,0.0019979,0.01075398,0.03369788,0.06416332,0.15638076,194.08,15.53,0.0
transport_019_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_019_transport_sound.mp3,sounds\transport_019_transport_sound.mp3,2.553,44100,112596,0.0,0.717009,0.016793,0.000726,0.04608267,0.049047,0.0,0.0,5.6e-07,5.681e-05,0.00072589,0.00769029,0.04889058,0.09927252,0.2399925,197.11,14.62,0.0
transport_020_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_020_transport_sound.mp3,sounds\transport_020_transport_sound.mp3,4.773,44100,210489,0.0,0.878963,0.053047,0.025478,0.0705644,0.08828,0.0,0.0001136,0.00072167,0.0055051,0.02547817,0.07332988,0.14349294,0.20156299,0.32380995,198.88,9.96,0.0
transport_021_transport_sound.mp3,D:\application-programming-labs-2025\sounds\transport_021_transport_sound.mp3,sounds\transport_021_transport_sound.mp3,34.399,44100,1517017,0.0,0.93688,0.196438,0.151983,0.16388956,0.255828,0.00085953,0.00870182,0.02149808,0.06339352,0.15198317,0.30009887,0.4451934,0.5194317,0.64746106,166.01,3.66,0.0
